구분,이름,주소,읍면동,Longitude,Latitude,CODE
학교,강정초등학교병설유치원,제주특별자치도 서귀포시 말질로 188,강정동,126.4786657,33.23500897,5013011600
학교,강정초등학교,제주특별자치도 서귀포시 말질로 188,강정동,126.4786657,33.23500897,5013011600
학교,서귀포대신중학교,제주특별자치도 서귀포시 신중로13번길 15,강정동,126.5063965,33.25727167,5013011600
장애인복지시설,제주장애인자립생활센터,제주특별자치도 제주시 건입동,건입동,126.5464771,33.5071678,5011010700
장애인복지시설,제주특별자치도장애인생산품판매시설,제주특별자치도 제주시 건입동,건입동,126.5380423,33.5143424,5011010700
학교,제주동초등학교병설유치원,제주특별자치도 제주시 동문로 65,건입동,126.5341722,33.51395922,5011010700
학교,제주동초등학교,제주특별자치도 제주시 동문로 65,건입동,126.5341722,33.51395922,5011010700
학교,제주여자상업고등학교,제주특별자치도 제주시 동문로 89-1,건입동,126.536353,33.51466018,5011010700
학교,제주대학교교육대학부설초등학교,제주특별자치도 제주시 일주동로 61,건입동,126.5522134,33.51393117,5011010700
클린하우스,,제주특별자치도 제주시 건화길 26,건입동,126.523882,33.480389,
클린하우스,,제주특별자치도 제주시 동대북길 1,건입동,126.5386111,33.51777778,
클린하우스,,제주특별자치도 제주시 동문로 95,건입동,126.5369444,33.51444444,
클린하우스,,제주특별자치도 제주시 만덕로3길 19,건입동,126.5330556,33.51583333,
클린하우스,,제주특별자치도 제주시 만덕로3길 2,건입동,126.5321629,33.5148021,
클린하우스,,제주특별자치도 제주시 만덕로4길 10-1,건입동,131.2661111,33.51611111,
클린하우스,,제주특별자치도 제주시 사라봉1길 42,건입동,126.541191,33.5151167,
클린하우스,,제주특별자치도 제주시 사라봉1길 50,건입동,126.5416667,33.51444444,
클린하우스,,제주특별자치도 제주시 사라봉7길 14,건입동,126.54,33.51694444,
클린하우스,,제주특별자치도 제주시 사라봉7길 5,건입동,126.539897,33.5175646,
클린하우스,,제주특별자치도 제주시 사라봉9길 21,건입동,126.5391667,33.51638889,
클린하우스,,제주특별자치도 제주시 서부두길 2,건입동,126.5278708,33.5167901,
클린하우스,,제주특별자치도 제주시 연무정길 32,건입동,126.5352778,33.51638889,
클린하우스,,제주특별자치도 제주시 연무정길 5,건입동,126.5377778,33.51694444,
클린하우스,,제주특별자치도 제주시 연무정동2길 13,건입동,126.5336111,33.51472222,
클린하우스,,제주특별자치도 제주시 연무정동길 19,건입동,126.5343738,33.5149885,
클린하우스,,제주특별자치도 제주시 임항로 146,건입동,126.523882,33.480389,
클린하우스,,제주특별자치도 제주시 임항로 235,건입동,126.5408333,33.51833333,
클린하우스,,제주특별자치도 제주시 임항로 242,건입동,126.5397222,33.51833333,
클린하우스,,제주특별자치도 제주시 임항로 286,건입동,126.5386111,33.51555556,
클린하우스,,제주특별자치도 제주시 임항로 287,건입동,126.5386111,33.51527778,
클린하우스,,제주특별자치도 제주시 임항로 8,건입동,126.52539,33.51645,
클린하우스,,제주특별자치도 제주시 임항로 85,건입동,126.5327778,33.51777778,
클린하우스,,제주특별자치도 제주시 중앙로1길 33,건입동,126.52837,33.51627,
