행정시,읍면동,Latitude,Longitude,거래금액(만원),버스정류장,학교,마을안전시설,마을 편의 시설,응급실보유병원,장애인 복지 시설/기관,영화관,백분위,순위,금액 순위,안전시설 순위,장애인 시설 순위,비고
제주시,아라일동 ,33.4293792,126.5579619,47290,55,5,0,0,1,10,1,100.0,1,3,,2,"응급실보유병원 있음, 장애인 복지 시설/기관 Top2 (10개), 거래금액 Top3 (47,290만원)"
제주시,이도이동 ,33.4953153,126.5394492,36263,54,9,0,0,1,7,1,92.73,2,,,,응급실보유병원 있음
제주시,애월읍,33.4110784,126.3939276,27543,366,27,41,294,0,6,0,86.98,3,,3,,마을안전시설 Top3 (41개)
제주시,한림읍,33.3764716,126.2852587,21805,210,15,47,270,0,6,1,84.8,4,,2,,마을안전시설 Top2 (47개)
제주시,연동 ,33.4659777,126.4934011,28474,67,8,0,0,1,4,1,84.09,5,,,,응급실보유병원 있음
제주시,조천읍,33.4721666,126.6674663,24508,317,16,33,271,0,7,0,76.92,6,,,,
서귀포시,동홍동 ,33.2674043,126.5663635,19762,59,7,0,0,1,3,0,67.32,7,,,,응급실보유병원 있음
제주시,이도일동 ,33.5054502,126.5275246,29029,14,2,0,0,0,21,0,65.47,8,,,1,장애인 복지 시설/기관 Top1 (21개)
제주시,이호이동 ,33.4917327,126.4601608,26915,13,0,0,0,1,0,1,64.46,9,,,,응급실보유병원 있음
서귀포시,대정읍,33.2578881,126.2467175,22066,160,15,58,201,0,4,0,64.4,10,,1,,마을안전시설 Top1 (58개)
서귀포시,남원읍,33.3283413,126.6661355,22251,295,16,28,185,0,4,0,60.4,11,,,,
제주시,삼도일동 ,33.5027684,126.519476,24306,16,4,0,0,1,2,0,59.9,12,,,,응급실보유병원 있음
제주시,구좌읍,33.4980532,126.7954504,23519,244,21,26,278,0,1,0,53.28,13,,,,
서귀포시,성산읍,33.4180535,126.8648302,11103,221,18,22,244,0,1,0,47.05,14,,,,
