시설,시설구분2,시설명,Latitude,Longitude,소재지,전화번호,정원,현원
장애인복지시설,단기거주시설,승담단기거주시설,33.3817229,126.2697024,제주시 한림읍 명월로 139,796-6900,13,6
정신건강시설,정신재활시설,우리야,33.4942778,126.5505344,제주시 신설동길 3-1(일도이동),751-7400,8,4
장애인복지시설,공동생활가정,다원 공동생활가정,33.4695245,126.5420627,제주시 아란4길 89-4 나동 502호 (아라일동 승준하이빌),753-3358,4,2
장애인복지시설,공동생활가정,또바기 공동생활가정,33.4693669,126.517427,제주시 오등1길 140 B동 205호 (오등동 영도그린빌라),757-3359,4,2
정신건강시설,정신재활시설,길정신건강센터,33.4054392,126.2791353,제주시 한림읍 한림뱅디길 88-17,796-7003,50,31
장애인복지시설,단기거주시설,하나원,33.4904231,126.681749,제주시 조천읍 와선로 4-4,783-6662,15,10
장애인복지시설,공동생활가정,작은예수의집,33.5129122,126.5163516,제주시 비룡길 23(용담일동),758-6260,9,6
장애인복지시설,주간보호시설,청각언어장애인 주간보호시설,33.4944686,126.4418758,제주시 내도7길 101호(외도동),712-1633,15,10
정신건강시설,정신요양시설,무지개마을,33.4709086,126.5821751,제주시 아봉로 449-1(월평동),723-2256,250,167
정신건강시설,정신재활시설,공생하우스,33.4715223,126.5822314,제주시 아봉로 449-10(월평동),723-2259,10,7
노숙인재활시설,노숙인재활시설,제주시희망원,33.4708888,126.5832414,제주시 아봉로 451(월평동),721-0711,100,71
장애인복지시설,거주시설,송향원,33.4208728,126.3982305,제주시 애월읍 하소로 747-42,799-8077,30,22
장애인복지시설,공동생활가정,사랑터울,33.5024086,126.5417065,제주시 천수로6길 2-9 (이도이동),758-1300,4,3
장애인복지시설,공동생활가정,새봄중증발달장애인공동생활가정,33.4951546,126.5616659,제주시 황사평4길 14-7,725-9930,4,3
장애인복지시설,공동생활가정,반디공동생활가정,33.5125513,126.5053961,제주시 성화로 29-2 가동 201호(용담이동),745-7477,4,3
장애인복지시설,직업재활시설,한라원,33.4202925,126.3978595,제주시 애월읍 하소로 747-23,799-9225,40,30
장애인복지시설,주간보호시설,제주시각장애인 주간보호시설,33.4709514,126.5812262,제주시 아봉로 433(월평동),721-4440,20,15
장애인복지시설,단기거주시설,마리아의집,33.4808554,126.4171772,제주시 애월읍 하광로 77,713-8877,17,13
장애인직업재활시설,,평화의마을,33.2789943,126.2924242,제주특별자치도 서귀포시 대정읍 중산간서로 2195-12,064-794-6277,40,31
장애인복지시설,주간보호시설,사회적협동조합품에장애인주간센터,33.508814,126.5806191,제주시 도련남길 104-12,070-7585-7773,24,19
장애인복지시설,공동생활가정,서부장애인 공동생활가정,33.4133333,126.2644559,제주시 한림읍 한림상로 184,796-8163,5,4
장애인복지시설,주간보호시설,서부장애인복지센터,33.4167643,126.2670047,제주시 한림읍 한림상로 207-14,796-8161,20,16
장애인복지시설,거주시설,벧엘,33.3690415,126.280921,제주시 한림읍 명월남길 58-1,796-6086,41,33
장애인복지시설,주간보호시설,유진주간활동센터,33.4611801,126.4512849,제주시 해안마을2길 7-10(해안동),747-1371,20,17
장애인복지시설,주간보호시설,한라주간보호센터,33.4740139,126.5053078,제주시 아연로 113-22(오라이동),742-0653,20,17
장애인복지시설,단기거주시설,해안유진빌,33.461443,126.4514116,제주시 해안마을2길 7-8(해안동),745-1371,14,12
장애인복지시설,주간보호시설,행복한쉼터,33.4836784,126.4696956,제주시 수덕로 81 4층(노형동),722-0915,15,13
