구분,이름,주소,읍면동,Longitude,Latitude,CODE
복지시설,(사)제주특별자치도장애인지원협의회,"제주특별자치도 제주시 도령로 25, 4층",노형동,33.4875699,126.4815468,
복지시설,(사)한국농아인협회 제주특별자치도협회 제주시지회,"제주특별자치도 제주시 서광로27길 16, 3층 301호(제주혼디누림터)",이도일동,33.5009203,126.5249745,
복지시설,(사)한국농아인협회제주특별자치도협회 서귀포시지회,제주특별자치도 서귀포시 남성중로 130,서홍동,33.2441823,126.5551072,
복지시설,(사)한국시각장애인연합회 서귀포시지회,제주특별자치도 서귀포시 칠십리로 72번길 9 (서귀포시장애인회관 5층),서귀동,33.2396704,126.5646434,
복지시설,(사)한국장애인연맹 제주DPI,제주특별자치도 제주시 서광로27길 16 혼디누림터 4층,이도일동,33.5009203,126.5249745,
클린하우스,(신촌)조천농협옆 동측 사거리 지점,제주특별자치도 제주시 조천읍 신촌리 2178,조천읍,33.5361935,126.6196376,
전기차충전소,㈜ 신한은행 제주중앙금융센터 전기차충전소,제주특별자치도 제주시 한경면 고산리 2715,한경면,33.30467782,126.1931896,
주유소,(주)태흥주유소,제주특별자치도 서귀포시 남원읍 태흥리 366-1,남원읍,33.28884893,126.7501574,
병원,365경희부부한의원,제주특별자치도 제주시 조천읍 신북로 241 2층,조천읍,33.53706587,126.638091,
주차장,405-2-000266 한림읍 무료 주차장,제주특별자치도 제주시 한림읍 금능리 1428,한림읍,33.38888402,126.2318593,
주차장,405-2-000267 한림읍 무료 주차장,제주특별자치도 제주시 한림읍 금능리 2016,한림읍,33.39109167,126.2378721,
전기차충전소,가나안교회전기차충전소,제주특별자치도 서귀포시 표선면 성읍리 2922-4,표선면,33.41533189,126.7711772,
복지시설,가롤로의집,제주특별자치도 제주시 기와5길 79,화북이동,33.4905639,126.5581618,
초등학교,가마초등학교,제주특별자치도 서귀포시 표선면 일주동로6285번길 8,표선면,33.30594577,126.7994893,5013032025
클린하우스,가문동포구 팔각정옆,제주특별자치도 제주시 애월읍 하귀2리 2729-1,애월읍,33.48679976,126.3925934,
클린하우스,가시리 두리동 창고 앞 (선과장 앞),제주특별자치도 서귀포시 표선면 가시리 2316-1,표선면,33.35179569,126.7655931,
전기차충전소,가시리 유채꽃길 펜션 전기차충전소,제주특별자치도 서귀포시 표선면 가시리 2724-5,표선면,33.36394851,126.7632598,
전기차충전소,가시리 조랑말체험공원 전기차충전소,제주특별자치도 서귀포시 표선면 가시리 산 41-3,표선면,33.38388185,126.7357264,
전기차충전소,가시리교회 전기차충전소,제주특별자치도 서귀포시 표선면 가시리 2072-1,표선면,33.35146159,126.771985,
