공고명,기업명,경력,학력,우대,고용형태,급여,지역,시간,시작일,마감일,번호
(주)세스코 장애인 직군(Branch Assistant) 물류관리 모집(대전 유성구 근무),㈜세스코,경력무관,고졸이상,기본우대장애인/ 기본우대 장애인/ 인근거주자 ,계약직 근무기간 12개월,회사내규에 따름,대전시 유성구/ 대전전지역 ,주5일                                 (월~금) 08:30~15:00  일5H (오전/오후 선택) 탄력근무제,2023.05.30(화),2023.06.29(목),1
부천성모병원 콜센터 상담원 (장애인 전형),㈜평화아름,신입·경력,학력무관,기본우대장애인/ 기본우대 장애인/ 인근거주자/ 컴퓨터활용능력 우수자/ 유관업무 경험자(인턴·알바)/ 유관업무 경력자/ 장기근무 가능자 ,계약직 근무기간 2년                                                             정규직 전환가능,회사내규에 따름   - 면접 후 결정,경기도 부천시 ,주 40시간 기준                                  08:00~17:00  더보기    09:00~18:00   시간 더보기 레이어 닫기     상세모집요강 확인,2023.05.30(화),2023.06.29(목),2
[장애인전형] 게임디자인 재택근무 / UI/UX업무,한국장애인고용정보센터,경력무관,학력무관,Illustrator / Photoshop,계약직 근무기간 6개월                                                             정규직 전환가능,회사내규에 따름   - 면접 후 결정,경기도 수원시 권선구/ 서울시 강남구/ 성북구/ 용산구/ 은평구/ 도봉구/ 구로구/ 서초구/ 종로구/ 관악구/ 재택근무 가능 ,주5일                                 (월~금) 09:00~14:00  수습기간 근무시간 (최대 5시간),2023.06.29(목),2023.06.30(금),3
[장애인전형]홍보디자인 재택근무/미리캔버스/ 데이터입력.,한국장애인고용정보센터,경력무관,학력무관,Photoshop,계약직 근무기간 12개월,회사내규에 따름,경기도 수원시 권선구/ 과천시/ 부천시/ 시흥시/ 용인시 수지구/ 화성시/ 안산시 단원구/ 성남시 분당구/ 광명시/ 고양시 일산동구/ 성남시 수정구/ 수원시 팔달구/ 재택근무 가능 ,주5일                                 (월~금) 10:00~14:00,2023.06.29(목),2023.06.30(금),4
[장애인전형] 복지업체 아웃바운드 업무/ 재택근무.,한국장애인고용정보센터,경력무관,학력무관,Excel/ 워드,계약직 근무기간 3개월,회사내규에 따름   - 면접 후 결정,경기도 수원시 권선구/ 과천시/ 군포시/ 부천시/ 시흥시/ 용인시 수지구/ 화성시/ 안양시 만안구/ 안산시 단원구/ 성남시 분당구/ 광명시/ 고양시 덕양구/ 김포시/ 재택근무 가능 ,주5일                                 (월~금) 09:00~13:00,2023.06.29(목),2023.06.30(금),5
[장애인전형] 단시간 재택근무 /중증장애인/ 저작권매칭업무.,한국장애인고용정보센터,경력무관,학력무관,기본우대장애인/,계약직 근무기간 12개월,회사내규에 따름,경기도 수원시 권선구/ 서울시 마포구/ 용산구/ 은평구/ 송파구/ 도봉구/ 구로구/ 동대문구/ 종로구/ 영등포구/ 동작구/ 강서구/ 재택근무 가능 ,주5일                                 (월~금) 10:00~13:30,2023.06.29(목),2023.06.30(금),6
[장애인전형]송도대기업 바이오회사 디자이너/높은연봉/ 통근버스,㈜에프앤비네트웍스,경력 (4년이상),초대졸이상 (졸업예정자 가능),기본우대장애인/,정규직,회사내규에 따름   - 면접 후 결정,인천시 연수구/ 경기도 수원시 영통구/ 안양시 만안구/ 군포시/ 서울시 강남구/ 마포구 ,주5일                                 (월~금) 08:00~17:00,2023.06.29(목),2023.06.30(금),7
[장애인전형] 동탄 전기회사 미화사원 모집/ 근무시간 협의.,㈜에프앤비네트웍스,경력무관,학력무관,기본우대장애인/,계약직 근무기간 12개월,회사내규에 따름   - 면접 후 결정,경기도 화성시/ 수원시 팔달구/ 수원시 영통구/ 용인시 기흥구/ 오산시/ 수원시 권선구 ,주5일                                 (월~금) 06:00~16:00,2023.06.29(목),2023.06.30(금),8
[장애인전형]중견기업 제조업체 구매사무직 모집 /분당본사근무,㈜에프앤비네트웍스,경력무관,학력무관,기본우대장애인/,계약직                                                              정규직 전환가능,회사내규에 따름   - 면접 후 결정,경기도 성남시 분당구/ 수원시 영통구/ 용인시 수지구/ 안양시 만안구/ 서울시 서초구/ 강남구 ,주5일                                 (월~금) 09:00~18:00,2023.06.29(목),2023.06.30(금),9
[장애인전형]코스닥상장사 간단포장/화성/특별수당지급,㈜에프앤비네트웍스,경력무관,학력무관,기본우대장애인/,정규직  수습 3개월,회사내규에 따름   - 면접 후 결정,경기도 화성시/ 수원시 권선구/ 수원시 장안구/ 수원시 팔달구/ 수원시 영통구/ 오산시 ,주5일                                 (월~금) 08:30~17:30,2023.06.29(목),2023.06.30(금),10
[장애인전형]중견기업 생산직/통근버스(병점/오산/수원).,㈜에프앤비네트웍스,경력무관,학력무관,기본우대장애인/,계약직 근무기간 3개월,회사내규에 따름   - 면접 후 결정,경기도 화성시/ 수원시 권선구/ 수원시 장안구/ 수원시 팔달구/ 수원시 영통구/ 오산시 ,주5일                                 (월~금) 08:00~17:00  2조 2교대,2023.06.29(목),2023.06.30(금),11
EM실천 한글편집디자이너 채용-장애인고용,EM실천,신입,학력무관,기본우대장애인/ 기본우대 장애인/ 관련 학과 전공자/ 장기근무 가능자 ,계약직 근무기간 1년,연봉 2413~2420만원  - 면접 후 결정,서울시 금천구 ,주5일                                 (월~금) 09:00~18:00,2023.06.16(금),2023.06.30(금),12
[중증장애인만가능/재택근무] 사무업무 (엑셀업무)가능자 모집,마인드플러스기업정보,경력,학력무관,기본우대장애인/우대전공건축학,계약직 근무기간 12개월,회사내규에 따름   - 면접 후 결정,부산 해운대구/ 전국/ 재택근무 가능 ,주5일                                 (월~금) 09:00~12:00,2023.05.31(수),2023.06.30(금),13
아모그린텍 각 부문별 신입사원 모집,아모그린텍,신입,초대졸이상,CAD/ ERP/ 영어/ 일본어,정규직,회사내규에 따름   - 면접 후 결정,경기도 김포시/ 인천시 서구/ 충남 천안시 동남구/ 천안시 서북구/ 서울전지역 ,내용없음,2023.04.17(월),2023.06.30(금),14
[계룡/주간/주5일/장애인우대] 미화 및 재고관리 사원 모집,㈜맨파워코리아,경력무관,학력무관,기본우대장애인/,계약직,회사내규에 따름,충남 계룡시/ 대전전지역 ,주5일                                 (월~금) 09:00~18:00,2023.06.01(목),2023.07.01(토),15
㈜교보문고 [유통관리시스템 개발 및 운영] 신입사원 모집,㈜교보문고,신입,대졸이상,JAVA/ PostgreSQL/ Sybase/ Websquare,정규직  수습 3개월,회사내규에 따름   - 면접 후 결정,서울시 마포구 ,주5일                                 (월~금) 09:00~18:00,2023.06.01(목),2023.07.01(토),16
서울시중증장애인자립생활지원사업 팀장 채용 건,송파솔루션장애인자립생활센터,경력 (1년이상),대졸이상,기본우대장애인/자격증사회복지사2급 기본우대 장애인/ 컴퓨터활용능력 우수자/ 운전가능자/ 문서작성 우수자/ 관련 자격증 보유자/ 사회복지사2급/ 사회복지사1급 자격증사회복지사2급/ 사회복지사1급,계약직 근무기간 23개월                                                             정규직 전환가능,월급 238만원 이상  - 면접 후 결정,서울시 송파구 ,주5일(월~금)                                  10:00~19:00,2023.06.19(월),2023.07.02(일),17
[장애인 특별채용] 고객 컨설턴트 (인턴 / 원격근무 가능),㈜민병철교육그룹,경력무관,학력무관,기본우대국가유공자 기본우대 국가유공자/ 장애인/ 고용촉진지원금 대상자/ 취업보호대상자/ 보훈대상자 ,인턴 근무기간 3개월,회사내규에 따름   - 면접 후 결정,서울시 강남구/ 재택근무 가능 ,주5일                                 (월~금) 09:00~18:00,2023.06.23(금),2023.07.02(일),18
대상㈜ 6월 식품사업총괄 생산직 계약직 모집,대상㈜,신입,고졸이상,계획성/성실성/ 꼼꼼함,계약직 근무기간 12개월,회사내규에 따름   - 면접 후 결정,경기도 이천시 ,내용없음,2023.06.23(금),2023.07.02(일),19
