명소 이름	Latitude	Longitude	placeId
가문동 해안길	33.4853529	126.3931115	0
검은여쉼터 & 검은여로	33.2439671	126.5888219	1
곤을동환해장성길	33.5231769	126.5594037	2
공천포구와 넙빌레	33.2631835	126.641713	3
귀덕 해안길	33.4425426	126.289524	4
귀덕마을길(리사무소-라신동)	33.4415635	126.2793498	5
"금악리, 골목식당 투어"	33.3598945	126.2949035	6
김녕항길과 윤씨하르방쉼터	33.5581302	126.7402139	7
난미밭담길	33.3985695	126.8684726	8
농업생태원	33.288095	126.60703	9
대문없는 마을 상명 정낭마을	33.3579583	126.2741947	10
도두봉공원 산책로	33.508095	126.468593	11
도두추억애거리 & 도두등대	33.5104135	126.4913534	12
돔베낭골 (올레7코스)	33.239982	126.5318596	13
동광마을길	33.2883466	126.3263745	14
두맹이 골목	33.512314	126.5338693	15
무오법정사 항일운동 발상지	33.3098899	126.4744626	16
법화사	33.2651982	126.4577155	17
사계마을과 형제해안로	33.2281229	126.3062768	18
산방산과 하멜상선	33.2360913	126.3116642	19
산이물공원	33.2210211	126.2468523	20
삼양 환해장성과 벌랑포구 해안길	33.5268135	126.5637017	21
상가리 퐁낭 마을길	33.4102243	126.3758566	22
상가리 퐁낭 마을길	33.4102243	126.3758566	23
선흘리 동백마을	33.5124039	126.7051542	24
세천포구	33.2688666	126.6743472	25
수산저수지와 물메둑길	33.5104135	126.4913534	26
수원리 해안 탐방로	33.4372869	126.2709567	27
신천목장 산책길	33.3564125	126.8680669	28
신흥리 무지개길	33.5485887	126.6505164	29
신흥리방파제와 환해장성	33.551768	126.6487847	30
어영소공원~용두암(비행기 이착륙 포토스팟)	33.5176696	126.4997858	31
연대포구와 외도포구 산책길	33.4945132	126.4355978	32
월대천(외도물길20리)	33.4867397	126.4317617	33
월정리 진빌레 밭담길	33.5629582	126.779381	34
위미 동백나무군락	33.5104135	126.4913534	35
이중섭 거리	33.2458403	126.56494	36
이호테우해수욕장과 내도동 알작지	33.496152	126.45522	37
일과리 해안도로	33.2434275	126.2121228	38
제주 올레길 14코스(휠체어 구간) 금능리	33.3898565	126.235364	39
제주올레길 1코스(휠체어구간)종달리	33.4926569	126.9005177	40
종달항과 해안길	33.4965344	126.9114739	41
중문단지축구장과 대포연대	33.2347653	126.4331858	42
칠머리당터와 건입동 벽화거리	33.5104135	126.4913534	43
태흥2리 옥돔마을 포구길	33.2872803	126.7504696	44
퍼시픽 마리나 요트공원	33.5104135	126.4913534	45
표선해수욕장	33.3272829	126.8376558	46
하모해수욕장	33.2110709	126.260619	47
한수리 방파제길	33.5104135	126.4913534	48
행원리 풍차마을	33.5290971	126.8463777	49
향기마을 용흥리	33.4559953	126.3699558	50
건강과 성박물관	33.2547254	126.3455651	51
김만덕기념관	33.5158954	126.5304318	52
김영갑갤러리두모악	33.3719327	126.8543753	53
낚고락고	33.550596	126.6474337	54
도두무지개해안로	33.5093822	126.4724912	55
무민랜드	33.3065678	126.3818063	56
빛의벙커	33.439644	126.8998205	57
산지천갤러리(산짓물공원)	33.5151533	126.5283418	58
서복전시관-정방폭포전망대	33.2447048	126.5709423	59
세계자동차-피아노박물관	33.283212	126.3499189	60
세계자연유산센터	33.4569963	126.7143064	61
수목원테마파크-LED공원	33.4705937	126.4883601	62
아르떼뮤지엄	33.3964708	126.3446147	63
용수포구	33.3222155	126.1727875	64
점보빌리지	33.27601	126.3050559	65
제주국제평화센터	33.2486522	126.4124374	66
제주아리랑공연장	33.4029137	126.7789058	67
제주자연생태공원	33.4401361	126.8237773	68
제주항일기념관	33.5416465	126.6427429	69
제주해양동물박물관	33.4296617	126.8555492	70
